Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
7.4	router4	combined	Drop	0	0	0	0
7.5	consumer0	combined	Drop	0	0	0	0
7.5	consumer1	combined	Drop	0	0	0	0
7.5	router2	combined	Drop	0	0	0	0
7.5	router3	combined	Drop	0	0	0	0
7.5	router4	combined	Drop	0	0	0	0
7.6	consumer0	combined	Drop	0	0	0	0
7.6	consumer1	combined	Drop	0	0	0	0
7.6	router2	combined	Drop	0	0	0	0
7.6	router3	combined	Drop	0	0	0	0
7.6	router4	combined	Drop	0	0	0	0
7.7	consumer0	combined	Drop	0	0	0	0
7.7	consumer1	combined	Drop	0	0	0	0
7.7	router2	combined	Drop	0	0	0	0
7.7	router3	combined	Drop	0	0	0	0
7.7	router4	combined	Drop	0	0	0	0
7.8	consumer0	combined	Drop	0	0	0	0
7.8	consumer1	combined	Drop	0	0	0	0
7.8	router2	combined	Drop	0	0	0	0
7.8	router3	combined	Drop	0	0	0	0
7.8	router4	combined	Drop	0	0	0	0
7.9	consumer0	combined	Drop	0	0	0	0
7.9	consumer1	combined	Drop	0	0	0	0
7.9	router2	combined	Drop	0	0	0	0
7.9	router3	combined	Drop	0	0	0	0
7.9	router4	combined	Drop	0	0	0	0
8	consumer0	combined	Drop	0	0	0	0
8	consumer1	combined	Drop	0	0	0	0
8	router2	combined	Drop	0	0	0	0
8	router3	combined	Drop	0	0	0	0
8	router4	combined	Drop	0	0	0	0
8.1	consumer0	combined	Drop	0	0	0	0
8.1	consumer1	combined	Drop	0	0	0	0
8.1	router2	combined	Drop	0	0	0	0
8.1	router3	combined	Drop	0	0	0	0
8.1	router4	combined	Drop	0	0	0	0
8.2	consumer0	combined	Drop	0	0	0	0
8.2	consumer1	combined	Drop	0	0	0	0
8.2	router2	combined	Drop	0	0	0	0
8.2	router3	combined	Drop	0	0	0	0
8.2	router4	combined	Drop	0	0	0	0
8.3	consumer0	combined	Drop	0	0	0	0
8.3	consumer1	combined	Drop	0	0	0	0
8.3	router2	combined	Drop	0	0	0	0
8.3	router3	combined	Drop	0	0	0	0
8.3	router4	combined	Drop	0	0	0	0
8.4	consumer0	combined	Drop	0	0	0	0
8.4	consumer1	combined	Drop	0	0	0	0
8.4	router2	combined	Drop	0	0	0	0
8.4	router3	combined	Drop	0	0	0	0
8.4	router4	combined	Drop	0	0	0	0
8.5	consumer0	combined	Drop	0	0	0	0
8.5	consumer1	combined	Drop	0	0	0	0
8.5	router2	combined	Drop	0	0	0	0
8.5	router3	combined	Drop	0	0	0	0
8.5	router4	combined	Drop	0	0	0	0
8.6	consumer0	combined	Drop	0	0	0	0
8.6	consumer1	combined	Drop	0	0	0	0
8.6	router2	combined	Drop	0	0	0	0
8.6	router3	combined	Drop	0	0	0	0
8.6	router4	combined	Drop	0	0	0	0
8.7	consumer0	combined	Drop	0	0	0	0
8.7	consumer1	combined	Drop	0	0	0	0
8.7	router2	combined	Drop	0	0	0	0
8.7	router3	combined	Drop	0	0	0	0
8.7	router4	combined	Drop	0	0	0	0
8.8	consumer0	combined	Drop	0	0	0	0
8.8	consumer1	combined	Drop	0	0	0	0
8.8	router2	combined	Drop	0	0	0	0
8.8	router3	combined	Drop	0	0	0	0
8.8	router4	combined	Drop	0	0	0	0
8.9	consumer0	combined	Drop	0	0	0	0
8.9	consumer1	combined	Drop	0	0	0	0
8.9	router2	combined	Drop	0	0	0	0
8.9	router3	combined	Drop	0	0	0	0
8.9	router4	combined	Drop	0	0	0	0
9	consumer0	combined	Drop	0	0	0	0
9	consumer1	combined	Drop	0	0	0	0
9	router2	combined	Drop	0	0	0	0
9	router3	combined	Drop	0	0	0	0
9	router4	combined	Drop	0	0	0	0
9.1	consumer0	combined	Drop	0	0	0	0
9.1	consumer1	combined	Drop	0	0	0	0
9.1	router2	combined	Drop	0	0	0	0
9.1	router3	combined	Drop	0	0	0	0
9.1	router4	combined	Drop	0	0	0	0
9.2	consumer0	combined	Drop	0	0	0	0
9.2	consumer1	combined	Drop	0	0	0	0
9.2	router2	combined	Drop	0	0	0	0
9.2	router3	combined	Drop	0	0	0	0
9.2	router4	combined	Drop	0	0	0	0
9.3	consumer0	combined	Drop	0	0	0	0
9.3	consumer1	combined	Drop	0	0	0	0
9.3	router2	combined	Drop	0	0	0	0
9.3	router3	combined	Drop	0	0	0	0
9.3	router4	combined	Drop	0	0	0	0
9.4	consumer0	combined	Drop	0	0	0	0
9.4	consumer1	combined	Drop	0	0	0	0
9.4	router2	combined	Drop	0	0	0	0
9.4	router3	combined	Drop	0	0	0	0
9.4	router4	combined	Drop	0	0	0	0
9.5	consumer0	combined	Drop	0	0	0	0
9.5	consumer1	combined	Drop	0	0	0	0
9.5	router2	combined	Drop	0	0	0	0
9.5	router3	combined	Drop	0	0	0	0
9.5	router4	combined	Drop	0	0	0	0
9.6	consumer0	combined	Drop	0	0	0	0
9.6	consumer1	combined	Drop	0	0	0	0
9.6	router2	combined	Drop	0	0	0	0
9.6	router3	combined	Drop	0	0	0	0
9.6	router4	combined	Drop	0	0	0	0
9.7	consumer0	combined	Drop	0	0	0	0
9.7	consumer1	combined	Drop	0	0	0	0
9.7	router2	combined	Drop	0	0	0	0
9.7	router3	combined	Drop	0	0	0	0
9.7	router4	combined	Drop	0	0	0	0
9.8	consumer0	combined	Drop	0	0	0	0
9.8	consumer1	combined	Drop	0	0	0	0
9.8	router2	combined	Drop	0	0	0	0
9.8	router3	combined	Drop	0	0	0	0
9.8	router4	combined	Drop	0	0	0	0
9.9	consumer0	combined	Drop	0	0	0	0
9.9	consumer1	combined	Drop	0	0	0	0
